ID,FC name,FC parent,FC ontology,ADAN name,ADAN parent,Confidence,Note
0,Femoral artery,Extrenal illiac artery,UBERON:0002060,femoral,external iliac,0.9577494263648987,
0,,,,femoral,femoral,0.9510686993598938,
0,,,,popliteal,femoral,0.945478081703186,
0,,,,descending genicular,femoral,0.9421955347061157,
0,,,,perforator,femoral,0.9403356909751892,
1,Deep femoral artery,Femoral artery,UBERON:0001355,profunda femoris,femoral,1.0,align
2,Medial circumflex femoral artery,Deep femoral artery,UBERON:0001356,medial circumflex femoral,profunda femoris,1.0,align
3,Lateral circumflex femoral artery,Deep femoral artery,ILX:0741412,lateral circumflex femoral,profunda femoris,1.0,align
4,Descending branch of lateral circumflex femoral artery,Lateral circumflex femoral artery,ILX:0747134,lateral circumflex femoral descending branch,lateral circumflex femoral,1.0,align
5,Perforating femoral arteries,Deep femoral artery,ILX:0744287,profunda femoris,femoral,0.9760653376579285,
5,,,,profunda femoris,profunda femoris,0.9541006088256836,
5,,,,medial circumflex femoral,profunda femoris,0.9461346864700317,
5,,,,perforator,profunda femoris,0.944807767868042,
5,,,,lateral circumflex femoral,profunda femoris,0.9389477372169495,
6,Superficial epigastric artery,Femoral artery,UBERON:0034964,superficial epigastric,femoral,1.0,align
7,Superficial external pudendal artery,Femoral artery,UBERON:0007317,superficial external pudendal,femoral,1.0,align
8,Deep external pudendal artery,Femoral artery,UBERON:0007316,deep external pudendal,femoral,1.0,align
9,Popliteal artery,Femoral artery,UBERON:0002250,popliteal,femoral,0.9999998807907104,align
10,Superior lateral genicular artery,Popliteal artery,ILX:0743858,lateral superior genicular,popliteal,1.000000238418579,align
11,Superior medial genicular artery,Popliteal artery,ILX:0745868,medial superior genicular,popliteal,1.0,align
12,Middle genicular artery,Popliteal artery,ILX:0746484,middle genicular,popliteal,1.0,align
13,Inferior lateral genicular artery,Popliteal artery,ILX:0743923,lateral inferior genicular,popliteal,1.0,align
14,Inferior medial genicular artery,Popliteal artery,ILX:0743543,medial inferior genicular,popliteal,0.9999998807907104,align
15,Patellar anastomosis,Popliteal artery,ILX:0744660,popliteal,popliteal,0.9402028322219849,
15,,,,posterior tibial recurrent,popliteal,0.9357775449752808,
15,,,,tibiofibular trunk,popliteal,0.9346181154251099,
15,,,,anterior tibial,popliteal,0.9341792464256287,
15,,,,perforator,popliteal,0.922841489315033,
16,Anterior tibial artery,Popliteal artery,UBERON:0001537,anterior tibial,popliteal,0.9999999403953552,align
17,Dorsalis pedis artery,Anterior tibial artery,UBERON:0001539,dorsalis pedis,anterior tibial,1.0,align
18,Lateral tarsal artery,Dorsalis pedis artery,ILX:0742961,lateral tarsal artery,dorsalis pedis,1.0000001192092896,align
19,Arcuate artery,Dorsalis pedis artery,ILX:0745825,dorsalis pedis,anterior tibial,0.9390287399291992,
19,,,,arcuate of foot,dorsalis pedis,0.934873104095459,
19,,,,perforator,dorsal scapular,0.9178773760795593,
19,,,,dorsal nasal,angular,0.9148505330085754,
19,,,,perforator,dorsal pancreatic,0.9103671312332153,
20,Dorsal metatarsal arteries,Arcuate artery,UBERON:0035195,arcuate of foot,dorsalis pedis,0.9348194599151611,
20,,,,dorsalis pedis,anterior tibial,0.9296807646751404,
20,,,,dorsal tarsal 3,arcuate of foot,0.9217334985733032,
20,,,,dorsal tarsal 4,arcuate of foot,0.9074465036392212,
20,,,,dorsal nasal,angular,0.9070740342140198,
21,Dorsal digital arteries of foot,Dorsal metatarsal arteries,UBERON:0006145,arcuate of foot,dorsalis pedis,0.904859721660614,
21,,,,dorsal tarsal 3,arcuate of foot,0.8941660523414612,
21,,,,dorsal digital 2,dorsal tarsal 1,0.8831931352615356,
21,,,,dorsal tarsal 1,dorsalis pedis,0.8831409215927124,
21,,,,lateral tarsal artery,dorsalis pedis,0.8806201219558716,
22,Deep plantar artery,Dorsalis pedis artery,ILX:0742543,arcuate of foot,dorsalis pedis,0.9421694874763489,
22,,,,deep plantar arch,deep plantar arch,0.9369875192642212,
22,,,,deep plantar arch,medial plantar deep branch,0.9349830150604248,
22,,,,dorsalis pedis,dorsalis pedis,0.9344109296798706,
22,,,,dorsal tarsal 1,dorsalis pedis,0.9318678379058838,
23,Posterior tibial artery,Popliteal artery,UBERON:0001538,posterior tibial recurrent,popliteal,0.9771231412887573,
23,,,,popliteal,popliteal,0.9659810066223145,
23,,,,posterior tibial,posterior tibial,0.9651851654052734,
23,,,,anterior tibial,popliteal,0.9601877927780151,
23,,,,tibiofibular trunk,popliteal,0.9553849697113037,
24,Calcaneal branches of posterior tibial artery,Posterior tibial artery,FMA:71562,posterior tibial calcanean branch,posterior tibial,0.9921050071716309,align
25,Fibular artery,Posterior tibial artery,ILX:0746577,posterior tibial,fibular communicating branch,0.9685788154602051,
25,,,,fibular,tibiofibular trunk,0.9535839557647705,
25,,,,posterior tibial,tibiofibular trunk,0.9518502950668335,
25,,,,perforator,posterior tibial,0.951371431350708,
25,,,,tibiofibular trunk,popliteal,0.9389388561248779,
26,Calcaneal branches of fibular artery,Fibular artery,FMA:44630,fibular,tibiofibular trunk,0.9602624177932739,
26,,,,fibular,fibular,0.9584128260612488,
26,,,,fibular perforating branch,fibular,0.9532531499862671,
26,,,,lateral calcaneal,fibular,0.9505897760391235,
26,,,,fibular communicating branch,fibular,0.9490271806716919,
27,Medial plantar artery,Posterior tibial artery,UBERON:0001541,medial plantar,posterior tibial,1.0000001192092896,align
