#[1] vessel name;[2] first node;[3] second node;[4] length [cm];[5] inlet radius [cm];[6] outlet radius [cm];[7] vessel type (1 artery, 0 vein);[8] vessel region;[9] perforator (1 yes, -1 no);[10] total resistance;[11] total compliance;[12] vascular territory;[13] first connection;[14] second connection;;[15] input vessels;[16] output vessels
A_celiac_trunk_C_0;0;1;1.69374078952;0.334998;0.321246;1;31;-1;-;-;-;-;-;;['A_abdominal_aorta_C_827'];['A_common_hepatic_C_2463', 'A_splenic_C_3795']
T_perforator_UAR04_T1_R_1;2;3;0.8955524186;0.02539;0.02539;1;9;1;1511399.4840215;4.7733304e-08;38;16;-;;['A_transverse_facial_artery_R_98'];[]
P_superior_hypophysial_ORG10_T4_R_2;4;5;0.839333365258;0.008928;0.008928;1;9;1;1527479167.25538;4.7231e-11;20;328;-;;['A_internal_carotid_R_2524'];[]
P_internal_carotid_tentorial_branch_UAR09_T13_R_3;6;7;2.22446189801;0.022243;0.022243;1;9;1;26774022.567441;2.694556e-09;38;16;-;;['A_internal_carotid_R_2529'];[]
P_internal_carotid_nerve_branch_UAR09_T17_R_4;8;9;0.735531903168;0.008928;0.008928;1;9;1;414029385.365549;1.74249e-10;38;16;-;;['A_internal_carotid_R_2525'];[]
T_internal_carotid_meningeal_branch_UAR09_T14_R_5;10;11;0.461641371002;0.029116;0.029116;1;9;-1;-;-;-;-;-;;['A_internal_carotid_R_2528'];['T_internal_carotid_meningeal_branch_UAR09_T14_R_6', 'P_internal_carotid_cavernous_sinus_branch_UAR09_T15_R_8']
T_internal_carotid_meningeal_branch_UAR09_T14_R_6;11;12;1.02938448287;0.029116;0.029116;1;9;-1;11937093.0311766;6.04369e-09;38;16;-;;['T_internal_carotid_meningeal_branch_UAR09_T14_R_5'];[]
T_internal_carotid_trigeminal_ganglion_branch_UAR09_T16_R_7;13;14;0.818614556199;0.036638;0.036638;1;9;-1;5990987.80697256;1.2042103e-08;38;16;-;;['A_internal_carotid_R_2526'];[]
P_internal_carotid_cavernous_sinus_branch_UAR09_T15_R_8;11;15;0.660487350444;0.02539;0.02539;1;9;1;18001372.0540865;4.0077e-09;38;16;-;;['T_internal_carotid_meningeal_branch_UAR09_T14_R_5'];[]
P_inferior_alveolar_dental_branch_4_ORG08_T28_R_9;16;17;1.08680474359;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_84'];[]
P_inferior_alveolar_dental_branch_1_ORG08_T25_R_10;18;19;0.680620531612;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_81'];[]
P_inferior_alveolar_dental_branch_2_ORG08_T26_R_11;20;21;0.868480378928;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_82'];[]
P_inferior_alveolar_dental_branch_3_ORG08_T27_R_12;22;23;0.925520150648;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_83'];[]
P_inferior_alveolar_dental_branch_5_ORG08_T29_R_13;24;25;0.593691704388;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_86'];[]
P_inferior_alveolar_dental_branch_6_ORG08_T30_R_14;26;27;0.61303365512;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_87'];[]
P_inferior_alveolar_dental_branch_7_ORG08_T31_R_15;28;29;0.512979387611;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_88'];[]
P_inferior_alveolar_dental_branch_8_ORG08_T32_R_16;30;31;0.542836593985;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_inferior_alveolar_R_89'];[]
P_posterior_superior_alveolar_dental_branch_1_ORG08_T17_R_17;32;33;0.651184893475;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_104'];[]
P_posterior_superior_alveolar_dental_branch_2_ORG08_T18_R_18;34;35;0.691001860343;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_105'];[]
P_posterior_superior_alveolar_dental_branch_3_ORG08_T19_R_19;36;37;0.690425517596;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_106'];[]
P_posterior_superior_alveolar_dental_branch_4_ORG08_T20_R_20;38;39;0.661496072276;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_108'];[]
P_posterior_superior_alveolar_dental_branch_5_ORG08_T21_R_21;40;41;0.715886139338;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_109'];[]
P_posterior_superior_alveolar_dental_branch_6_ORG08_T22_R_22;42;43;0.730280797182;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_111'];[]
P_posterior_superior_alveolar_dental_branch_7_ORG08_T23_R_23;44;45;0.79867592585;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_112'];[]
P_posterior_superior_alveolar_dental_branch_8_ORG08_T24_R_24;46;47;0.730840813227;0.00713;0.00713;1;9;1;2738334991.04388;2.6346e-11;40;11;-;;['A_posterior_superior_alveolar_R_113'];[]
T_sphenopalatine_posterior_lateral_nasal_branch_three_ORG06_T8_R_25;48;49;2.87155347303;0.067645;0.067645;1;9;-1;8625251220.35724;8.364e-12;40;11;-;;['T_sphenopalatine_posterior_lateral_nasal_branch_two_ORG06_T7_R_26'];[]
T_sphenopalatine_posterior_lateral_nasal_branch_two_ORG06_T7_R_26;50;48;0.354566517539;0.067645;0.067645;1;9;-1;-;-;-;-;-;;['T_sphenopalatine_posterior_lateral_nasal_branch_one_ORG06_T6_R_117'];['T_sphenopalatine_posterior_lateral_nasal_branch_three_ORG06_T8_R_25', 'T_sphenopalatine_posterior_lateral_nasal_branch_two_ORG06_T7_R_27']
T_sphenopalatine_posterior_lateral_nasal_branch_two_ORG06_T7_R_27;48;51;1.99420389523;0.067645;0.067645;1;9;-1;8625251220.35724;8.364e-12;40;11;-;;['T_sphenopalatine_posterior_lateral_nasal_branch_two_ORG06_T7_R_26'];[]
T_sphenopalatine_posterior_septal_branche_three_ORG06_T10_R_28;52;53;1.19666111744;0.048097;0.048097;1;9;-1;23995228554.323;3.007e-12;40;11;-;;['A_sphenopalatine_posterior_septal_branche_one_R_120'];[]
T_sphenopalatine_posterior_septal_branche_two_ORG06_T9_R_29;54;55;1.14706380961;0.048097;0.048097;1;9;-1;23995228554.323;3.007e-12;40;11;-;;['A_sphenopalatine_posterior_septal_branche_one_R_119'];[]
A_submental_mental_branch_R_30;56;57;1.74625370206;0.051962;0.051962;1;9;-1;-;-;-;-;-;;['A_inferior_alveolar_mental_branch_R_101'];['A_submental_R_135']
P_posterior_ethmoidal_UAR10_T3_R_31;58;59;1.44509528734;0.019847;0.019847;1;9;1;76759022.4739867;9.39878e-10;40;11;-;;['A_ophthalmic_R_154'];[]
T_lesser_palatine_UAR03_T15_R_32;60;61;0.76005388696;0.03407;0.03407;1;9;-1;11003364.3409519;6.556548e-09;40;11;-;;['A_descending_palatine_R_38'];[]
P_facial_glandular_branch_UAR03_T12_R_33;62;63;0.677774333861;0.008928;0.008928;1;9;1;611475906.266308;1.17984e-10;40;11;-;;['A_facial_R_51'];[]
T_lateral_nasal_UAR03_T10_R_34;64;65;0.770989484221;0.05546;0.05546;1;9;-1;2550952.06846131;2.8281241e-08;40;11;-;;['A_facial_superior_labial_branch_R_61'];[]
P_ascending_pharyngeal_pharyngeal_branch_1_UAR03_T4_R_35;66;67;0.849488006338;0.024871;0.024871;1;9;1;28285388.7277991;2.550578e-09;40;11;-;;['T_ascending_pharyngeal_UAR03_T3_R_183'];[]
P_ascending_pharyngeal_pharyngeal_branch_2_UAR03_T5_R_36;68;69;0.802720330019;0.024871;0.024871;1;9;1;28285388.7277991;2.550578e-09;40;11;-;;['T_ascending_pharyngeal_UAR03_T3_R_184'];[]
P_ascending_pharyngeal_pharyngeal_branch_3_UAR03_T6_R_37;70;71;0.882730363222;0.024871;0.024871;1;9;1;28285388.7277991;2.550578e-09;40;11;-;;['T_ascending_pharyngeal_UAR03_T3_R_185'];[]
A_descending_palatine_R_38;72;60;2.32592758759;0.06192;0.06192;1;9;-1;-;-;-;-;-;;['A_sphenopalatine_R_123'];['T_lesser_palatine_UAR03_T15_R_32', 'A_descending_palatine_R_39']
A_descending_palatine_R_39;60;73;0.366857213919;0.06192;0.06192;1;9;-1;-;-;-;-;-;;['A_descending_palatine_R_38'];['A_greater_palatine_R_40']
A_greater_palatine_R_40;73;74;4.39468113878;0.057802;0.048097;1;9;-1;-;-;-;-;-;;['A_descending_palatine_R_39'];['A_nasopalatine_R_122']
T_accessory_meningeal_UAR09_T7_R_41;75;76;2.62879977334;0.041387;0.041387;1;9;-1;4156251.97991023;1.7357968e-08;38;16;-;;['A_maxillary_R_70'];[]
A_external_carotid_R_42;77;78;0.407607443851;0.157984;0.162564421365;1;9;-1;-;-;-;-;-;;['A_superficial_temporal_R_217'];['A_external_carotid_R_43', 'T_posterior_auricular_UAR07_T3_R_192']
A_external_carotid_R_43;78;79;2.93821801958;0.162564421365;0.195582161333;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_42'];['A_external_carotid_R_44', 'A_facial_R_49']
A_external_carotid_R_44;79;80;0.228312264056;0.195582161333;0.198147782712;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_43'];['A_external_carotid_R_45', 'A_occipital_R_233']
A_external_carotid_R_45;80;81;0.343845807192;0.198147782712;0.20201169321;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_44'];['A_external_carotid_R_46', 'A_lingual_R_126']
A_external_carotid_R_46;81;82;0.833522049845;0.20201169321;0.211378259652;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_45'];['A_external_carotid_R_47', 'T_ascending_pharyngeal_UAR03_T3_R_183']
A_external_carotid_R_47;82;83;0.532615304693;0.211378259652;0.217363436217;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_46'];['A_external_carotid_R_48', 'A_superior_thyroid_R_717']
A_external_carotid_R_48;83;84;0.817236813225;0.217363436217;0.226547;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_47'];['A_common_carotida_R_735']
A_facial_R_49;79;85;1.0244200128;0.070822;0.0685957813257;1;9;-1;-;-;-;-;-;;['A_external_carotid_R_43'];['A_facial_R_50', 'T_ascending_palatine_UAR03_T7_R_136']
A_facial_R_50;85;86;0.475972172878;0.0685957813257;0.0675613300183;1;9;-1;-;-;-;-;-;;['A_facial_R_49'];['A_facial_R_51', 'P_facial_tonsillar_branch_UAR03_T8_R_137']
A_facial_R_51;86;62;3.36920234633;0.0675613300183;0.0602388940211;1;9;1;-;-;-;-;-;;['A_facial_R_50'];['P_facial_glandular_branch_UAR03_T12_R_33', 'A_facial_R_52']
A_facial_R_52;62;87;0.338795842363;0.0602388940211;0.0595025740804;1;9;-1;-;-;-;-;-;;['A_facial_R_51'];['A_facial_R_53', 'A_submental_R_134']
A_facial_R_53;87;88;2.16864191512;0.0595025740804;0.0547893689975;1;9;-1;-;-;-;-;-;;['A_facial_R_52'];['A_facial_R_54', 'A_facial_inferior_labial_branch_R_60']
A_facial_R_54;88;89;0.948708745555;0.0547893689975;0.0527274984551;1;9;-1;-;-;-;-;-;;['A_facial_R_53'];['A_facial_R_55', 'T_perforator_UAR03_T1_R_187']
A_facial_R_55;89;90;1.58863750362;0.0527274984551;0.0492748425303;1;9;-1;-;-;-;-;-;;['A_facial_R_54'];['A_facial_R_56', 'A_facial_superior_labial_branch_R_61']
A_facial_R_56;90;91;0.244623138327;0.0492748425303;0.0487431922791;1;9;-1;-;-;-;-;-;;['A_facial_R_55'];['A_facial_R_57']
A_facial_R_57;91;92;0.570064852949;0.0487431922791;0.0475042452018;1;9;-1;-;-;-;-;-;;['A_facial_R_56', 'A_buccal_R_100'];['A_facial_R_58', 'T_perforator_UAR03_T2_R_188']
A_facial_R_58;92;93;2.53649544423;0.0475042452018;0.0419915678265;1;9;-1;-;-;-;-;-;;['A_facial_R_57'];['A_facial_R_59', 'A_infra_orbital_R_93']
A_facial_R_59;93;94;1.59135769032;0.0419915678265;0.038533;1;9;-1;-;-;-;-;-;;['A_facial_R_58'];['A_transverse_facial_artery_R_98', 'A_angular_R_173']
A_facial_inferior_labial_branch_R_60;88;95;4.69466950531;0.05585;0.05585;1;9;-1;-;-;-;-;-;;['A_facial_R_53'];[]
A_facial_superior_labial_branch_R_61;90;64;2.5475423449;0.063691;0.063691;1;9;-1;-;-;-;-;-;;['A_facial_R_55'];['T_lateral_nasal_UAR03_T10_R_34', 'A_facial_superior_labial_branch_R_62']
A_facial_superior_labial_branch_R_62;64;96;1.22643077193;0.063691;0.063691;1;9;-1;-;-;-;-;-;;['A_facial_superior_labial_branch_R_61'];['A_facial_superior_labial_branch_R_63', 'T_nasal_septal_UAR03_T11_R_138']
A_facial_superior_labial_branch_R_63;96;97;0.270476165428;0.063691;0.063691;1;9;-1;-;-;-;-;-;;['A_facial_superior_labial_branch_R_62'];[]
T_dorsal_nasal_UAR10_T9_R_64;98;99;0.781257646614;0.017097;0.017097;1;9;-1;-;-;-;-;-;;['A_ophthalmic_R_157'];['T_dorsal_nasal_UAR10_T9_R_65']
T_dorsal_nasal_UAR10_T9_R_65;99;100;1.14232544755;0.017097;0.017097;1;9;-1;120075473.905773;6.00823e-10;40;11;-;;['T_dorsal_nasal_UAR10_T9_R_64', 'A_angular_R_173'];[]
A_maxillary_R_66;77;101;0.694749163408;0.136083;0.130959674856;1;9;-1;-;-;-;-;-;;['A_superficial_temporal_R_217'];['A_maxillary_R_67', 'T_deep_auricular_UAR09_T6_R_218']
A_maxillary_R_67;101;102;0.247631405144;0.130959674856;0.129133553615;1;9;-1;-;-;-;-;-;;['A_maxillary_R_66'];['A_maxillary_R_68', 'T_anterior_tympanic_ORG04_T1_R_92']
A_maxillary_R_68;102;103;0.237217048196;0.129133553615;0.127384231512;1;9;-1;-;-;-;-;-;;['A_maxillary_R_67'];['A_maxillary_R_69', 'A_inferior_alveolar_R_80']
A_maxillary_R_69;103;104;0.154900304051;0.127384231512;0.126241942087;1;9;-1;-;-;-;-;-;;['A_maxillary_R_68'];['A_maxillary_R_70', 'A_middle_meningeal_R_230']
A_maxillary_R_70;104;75;0.332816696057;0.126241942087;0.123787634493;1;9;-1;-;-;-;-;-;;['A_maxillary_R_69'];['T_accessory_meningeal_UAR09_T7_R_41', 'A_maxillary_R_71']
A_maxillary_R_71;75;105;0.203427085771;0.123787634493;0.12228749148;1;9;-1;-;-;-;-;-;;['A_maxillary_R_70'];['A_maxillary_R_72', 'T_masseteric_UAR03_T13_R_79']
A_maxillary_R_72;105;106;0.258980180728;0.12228749148;0.120377680369;1;9;-1;-;-;-;-;-;;['A_maxillary_R_71'];['A_maxillary_R_73', 'P_pterygoid_branch_UAR03_T14_R_146']
A_maxillary_R_73;106;107;0.122643915473;0.120377680369;0.11947326092;1;9;-1;-;-;-;-;-;;['A_maxillary_R_72'];['A_maxillary_R_74', 'T_posterior_deep_temporal_UAR09_T8_R_219']
A_maxillary_R_74;107;108;0.178887202695;0.11947326092;0.118154083651;1;9;-1;-;-;-;-;-;;['A_maxillary_R_73'];['A_maxillary_R_75', 'A_buccal_R_100']
A_maxillary_R_75;108;109;1.61237442163;0.118154083651;0.106263866504;1;9;-1;-;-;-;-;-;;['A_maxillary_R_74'];['A_maxillary_R_76', 'P_anterior_deep_temporal_UAR09_T9_R_220']
A_maxillary_R_76;109;110;0.852988091603;0.106263866504;0.0999736317438;1;9;-1;-;-;-;-;-;;['A_maxillary_R_75'];['A_maxillary_R_77', 'A_posterior_superior_alveolar_R_104']
A_maxillary_R_77;110;111;0.331097785848;0.0999736317438;0.097532;1;9;-1;-;-;-;-;-;;['A_maxillary_R_76'];['A_sphenopalatine_R_123']
T_inferior_hypophysial_ORG10_T3_R_78;112;113;0.761396337131;0.036638;0.036638;1;9;-1;22102559.3590465;3.26406e-09;20;328;-;;['A_internal_carotid_R_2527'];[]
T_masseteric_UAR03_T13_R_79;105;114;1.64135240248;0.035504;0.035504;1;9;-1;9723218.36969247;7.419775e-09;40;11;-;;['A_maxillary_R_71'];[]
A_inferior_alveolar_R_80;103;115;1.51928714146;0.065665;0.065665;1;9;-1;-;-;-;-;-;;['A_maxillary_R_68'];['A_inferior_alveolar_R_81', 'T_mylohyoid_branch_UAR03_T9_R_91']
A_inferior_alveolar_R_81;115;18;3.25426720938;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_80'];['P_inferior_alveolar_dental_branch_1_ORG08_T25_R_10', 'A_inferior_alveolar_R_82']
A_inferior_alveolar_R_82;18;20;0.698596027876;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_81'];['P_inferior_alveolar_dental_branch_2_ORG08_T26_R_11', 'A_inferior_alveolar_R_83']
A_inferior_alveolar_R_83;20;22;1.14882144519;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_82'];['P_inferior_alveolar_dental_branch_3_ORG08_T27_R_12', 'A_inferior_alveolar_R_84']
A_inferior_alveolar_R_84;22;16;0.636441562592;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_83'];['P_inferior_alveolar_dental_branch_4_ORG08_T28_R_9', 'A_inferior_alveolar_R_85']
A_inferior_alveolar_R_85;16;116;0.812504569641;0.065665;0.065665;1;9;-1;-;-;-;-;-;;['A_inferior_alveolar_R_84'];['A_inferior_alveolar_R_86', 'A_inferior_alveolar_mental_branch_R_101']
A_inferior_alveolar_R_86;116;24;0.587893729578;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_85'];['P_inferior_alveolar_dental_branch_5_ORG08_T29_R_13', 'A_inferior_alveolar_R_87']
A_inferior_alveolar_R_87;24;26;0.612922938176;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_86'];['P_inferior_alveolar_dental_branch_6_ORG08_T30_R_14', 'A_inferior_alveolar_R_88']
A_inferior_alveolar_R_88;26;28;0.563080301748;0.065665;0.065665;1;9;1;-;-;-;-;-;;['A_inferior_alveolar_R_87'];['P_inferior_alveolar_dental_branch_7_ORG08_T31_R_15', 'A_inferior_alveolar_R_89']
